Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.011500,0.000000,0
Solver,8.029900,96.210133,7.72558e+08
Richards Exclude 1st Time Step,7.600300,99.496288,7.56202e+08
Solver Cleanup,0.003100,0.000000,0
Matvec,0.380300,715.393111,2.72064e+08
PFSB I/O,0.000000,0.000000,0
PFB I/O,0.098400,0.000000,0
CLM,0.000200,0.000000,0
PFSOL Read,0.000300,0.000000,0
Clustering,0.134900,0.000000,0
Permeability Face,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,0.102800,0.000000,0
SubsrfSim,0.000300,0.000000,0
Porosity,0.000100,0.000000,0
PhaseRelPerm,1.388800,0.002697,3746
PFMG,0.472200,0.000000,0
HYPRE_Copies,0.559100,0.000000,0
NL_F_Eval,1.683500,0.000690,1162
KINSol,7.666800,100.766649,7.72558e+08
Total Runtime,8.060900,-nan,0
